iteration,time,component,value
0,0.0,1,-0.5
0,0.0,2,-0.6
0,0.003998000000000001,1,-0.4910045
0,0.003998000000000001,2,-0.6017892329117789
0,0.007992,1,-0.4818518991841078
0,0.007992,2,-0.5934143667635445
0,0.011982000000000001,1,-0.4729366653217975
0,0.011982000000000001,2,-0.5921878948962775
0,0.015968,1,-0.463966868163654
0,0.015968,2,-0.565705555908872
0,0.019950000000000002,1,-0.4559385734450335
0,0.019950000000000002,2,-0.5395053024410505
0,0.023928,1,-0.4488439205647793
0,0.023928,2,-0.5355344844686288
0,0.027902000000000003,1,-0.4418053685412293
0,0.027902000000000003,2,-0.5261064195904982
0,0.031872,1,-0.4350350132231606
0,0.031872,2,-0.49147546849371043
0,0.035838,1,-0.4295312677938059
0,0.035838,2,-0.5225782190082985
0,0.0398,1,-0.4227049704494441
0,0.0398,2,-0.5085143880462345
0,0.043758,1,-0.41631920738276007
0,0.043758,2,-0.5171457291935786
0,0.047712,1,-0.40947943317911223
0,0.047712,2,-0.48868549764104185
0,0.051662,1,-0.4036387705853851
0,0.051662,2,-0.46486330207073945
0,0.055608,1,-0.3986278604745749
0,0.055608,2,-0.4447832815582426
0,0.05955,1,-0.39431140789013497
0,0.05955,2,-0.42725841766835637
0,0.063488,1,-0.3905996407298168
0,0.063488,2,-0.3918840698757997
0,0.06742200000000001,1,-0.38820472121256366
0,0.06742200000000001,2,-0.357674259102176
0,0.071352,1,-0.3871053777013765
0,0.071352,2,-0.35017820955221296
0,0.075278,1,-0.38627774570211576
0,0.075278,2,-0.3383053955217575
0,0.0792,1,-0.38589871012383964
0,0.0792,2,-0.3343945039982393
0,0.08311800000000001,1,-0.3856650803168891
0,0.08311800000000001,2,-0.33285547863595466
0,0.087032,1,-0.385486864973055
0,0.087032,2,-0.3529291192142026
0,0.09094200000000001,1,-0.38452009206521964
0,0.09094200000000001,2,-0.3892182499179059
0,0.094848,1,-0.38211588478452185
0,0.094848,2,-0.38239074551637314
0,0.09875,1,-0.3799280889787641
0,0.09875,2,-0.40257708563672334
0,0.10264799999999999,1,-0.3769075345985424
0,0.10264799999999999,2,-0.39530354603349005
0,0.106542,1,-0.3741062210579286
0,0.106542,2,-0.39437223297889357
0,0.110432,1,-0.37128113882556396
0,0.110432,2,-0.40086228780852323
0,0.11431800000000002,1,-0.3681427221948437
0,0.11431800000000002,2,-0.40531672350082365
0,0.1182,1,-0.3647627408887015
0,0.1182,2,-0.380084351623014
0,0.122078,1,-0.36228648390009777
0,0.122078,2,-0.39612090629197455
0,0.125952,1,-0.35913362646125996
0,0.125952,2,-0.40394780834239935
0,0.12982200000000002,1,-0.3556067350168521
0,0.12982200000000002,2,-0.3857114417097239
0,0.133688,1,-0.35270439871383663
0,0.133688,2,-0.3633884973048998
0,0.13755,1,-0.35059726585630063
0,0.13755,2,-0.35388695893523414
0,0.14140799999999998,1,-0.3488077494135611
0,0.14140799999999998,2,-0.3274938898774789
0,0.145262,1,-0.3479936119846844
0,0.145262,2,-0.3485571607185916
0,0.149112,1,-0.3463494533172297
0,0.149112,2,-0.3491743771227912
0,0.152958,1,-0.3446428949643597
0,0.152958,2,-0.3637096706028771
0,0.1568,1,-0.3423375789628643
0,0.1568,2,-0.3533107884306495
0,0.160638,1,-0.34037661165387806
0,0.160638,2,-0.3103287653303492
0,0.164472,1,-0.34001671762705604
0,0.164472,2,-0.3184918214565399
0,0.16830199999999998,1,-0.3393355558885902
0,0.16830199999999998,2,-0.31596505343260384
0,0.17212799999999998,1,-0.33873473927657544
0,0.17212799999999998,2,-0.3443616020060818
0,0.17595,1,-0.33703419001719
0,0.17595,2,-0.35322986990212063
0,0.17976799999999998,1,-0.33495414045416894
0,0.17976799999999998,2,-0.363007570819306
0,0.183582,1,-0.33245088380947835
0,0.183582,2,-0.3657458104948067
0,0.187392,1,-0.3297824134576668
0,0.187392,2,-0.3532511037880317
0,0.191198,1,-0.3275241366152151
0,0.191198,2,-0.36879100385660835
0,0.195,1,-0.324619368462396
0,0.195,2,-0.3710009212274199
0,0.198798,1,-0.32155859040523216
0,0.198798,2,-0.3348536269000096
0,0.202592,1,-0.3197927045465166
0,0.202592,2,-0.3250665672263833
0,0.206382,1,-0.3183533299039051
0,0.206382,2,-0.3237092836285723
0,0.210168,1,-0.31692901038107096
0,0.210168,2,-0.3317610471947986
0,0.21395,1,-0.31516411536273176
0,0.21395,2,-0.31545924410339454
0,0.217728,1,-0.3139702718117735
0,0.217728,2,-0.31831062237468666
0,0.221502,1,-0.3126384007124795
0,0.221502,2,-0.29923227709453787
0,0.225272,1,-0.31199176957540575
0,0.225272,2,-0.2987930407056563
0,0.229038,1,-0.31134514000736613
0,0.229038,2,-0.2682638761052355
0,0.23279999999999998,1,-0.3118304671576213
0,0.23279999999999998,2,-0.3044572537221767
0,0.236558,1,-0.31096805755027834
0,0.236558,2,-0.29917455068929305
0,0.240312,1,-0.3102819218304941
0,0.240312,2,-0.307630224446929
0,0.244062,1,-0.30926114728228543
0,0.244062,2,-0.2993864257954979
0,0.247808,1,-0.3085230438872132
0,0.247808,2,-0.27665144131462477
0,0.25155,1,-0.30861675791929244
0,0.25155,2,-0.29863941167763797
0,0.255288,1,-0.3078909638471866
0,0.255288,2,-0.2781408274181935
0,0.25902200000000003,1,-0.30791198791992086
0,0.25902200000000003,2,-0.2726419313509003
0,0.262752,1,-0.3081386594584132
0,0.262752,2,-0.2763510394416231
0,0.26647800000000005,1,-0.3082329283343441
0,0.26647800000000005,2,-0.2897363577504974
0,0.2702,1,-0.30783140339974624
0,0.2702,2,-0.3163238802399452
0,0.273918,1,-0.3064311066729699
0,0.273918,2,-0.29096367172933824
0,0.277632,1,-0.30593690500621745
0,0.277632,2,-0.2703530271993847
0,0.281342,1,-0.30619471223994077
0,0.281342,2,-0.29043936562611977
0,0.28504799999999997,1,-0.3057147111042473
0,0.28504799999999997,2,-0.3024893516100722
0,0.28875,1,-0.3047763580836069
0,0.28875,2,-0.2952037004547656
0,0.292448,1,-0.30408344162612055
0,0.292448,2,-0.3003545449784386
0,0.296142,1,-0.30318252276269764
0,0.296142,2,-0.290554548450532
0,0.299832,1,-0.302620149985234
0,0.299832,2,-0.286442304882484
0,0.303518,1,-0.3021949406903289
0,0.303518,2,-0.29175918656118394
0,0.3072,1,-0.30156306433353997
0,0.3072,2,-0.2903377523910332
0,0.31087800000000004,1,-0.30096726812584107
0,0.31087800000000004,2,-0.2715649242564058
0,0.314552,1,-0.3010459041631985
0,0.314552,2,-0.2735458741435981
0,0.318222,1,-0.3010538552265455
0,0.318222,2,-0.2604145696444405
0,0.321888,1,-0.30154340347978037
0,0.321888,2,-0.2327637698533826
0,0.32555,1,-0.30305803477191445
0,0.32555,2,-0.24860726099732477
0,0.32920799999999995,1,-0.30403167217165905
0,0.32920799999999995,2,-0.24195343840251451
0,0.332862,1,-0.3052731182261639
0,0.332862,2,-0.23589064792708392
0,0.336512,1,-0.3067671930404808
0,0.336512,2,-0.26488521577086
0,0.340158,1,-0.3072416583170382
0,0.340158,2,-0.26200164173842394
0,0.3438,1,-0.3078330168356599
0,0.3438,2,-0.27451919749003506
0,0.34743799999999997,1,-0.3079837465847651
0,0.34743799999999997,2,-0.2754214256823356
0,0.351072,1,-0.30810544322142047
0,0.351072,2,-0.273654330774645
0,0.354702,1,-0.30829431146348474
0,0.354702,2,-0.2753789074130873
0,0.358328,1,-0.3084253352801686
0,0.358328,2,-0.31193252306939917
0,0.36195,1,-0.3072356345414527
0,0.36195,2,-0.29788609203896665
0,0.365568,1,-0.3065246404997912
0,0.365568,2,-0.305244526588112
0,0.369182,1,-0.3055300629790547
0,0.369182,2,-0.33268701666539907
0,0.372792,1,-0.30352009572588345
0,0.372792,2,-0.32777333676393156
0,0.376398,1,-0.30163722778527546
