iteration,time,component,value
0,0.0,1,0.0
0,0.0,2,0.0
0,0.0,3,0.0
0,0.003992,1,0.0
0,0.003992,2,0.0
0,0.003992,3,0.00505733242225458
0,0.007968,1,0.0
0,0.007968,2,2.0107953710884208e-5
0,0.007968,3,-0.043636625501306425
0,0.011928,1,7.962749669510147e-8
0,0.011928,2,-0.00015269308327428923
0,0.011928,3,-0.07548434370904714
0,0.015872,1,-5.225940237386955e-7
0,0.015872,2,-0.00045040333486277124
0,0.015872,3,-0.049875233733901805
0,0.0198,1,-2.2917783230796614e-6
0,0.0198,2,-0.0006463132529695376
0,0.0198,3,-0.08048236787420346
0,0.023712,1,-4.820155768696491e-6
0,0.023712,2,-0.0009611602760934214
0,0.023712,3,-0.07014398828863953
0,0.027608,1,-8.564836204356461e-6
0,0.027608,2,-0.001234441254465961
0,0.027608,3,0.028264638867242425
0,0.031488,1,-1.3354468271684393e-5
0,0.031488,2,-0.0011247744556610604
0,0.031488,3,0.08999950656054122
0,0.035351999999999995,1,-1.770059676835872e-5
0,0.035351999999999995,2,-0.0007770163623111298
0,0.035351999999999995,3,0.13769345732354038
0,0.0392,1,-2.0690555730531953e-5
0,0.0392,2,-0.0002471719385301459
0,0.0392,3,0.2496164789737181
0,0.043031999999999994,1,-2.163771859897947e-5
0,0.043031999999999994,2,0.0007093584088971407
0,0.043031999999999994,3,0.23297487995310384
0,0.046848,1,-1.8930806910627976e-5
0,0.046848,2,0.0015983905507981865
0,0.046848,3,0.14569209954431733
0,0.050648,1,-1.2856922817594872e-5
0,0.050648,2,0.002152020529066592
0,0.050648,3,0.17158704231608535
0,0.054432,1,-4.713677135606882e-6
0,0.054432,2,0.0028013058971906595
0,0.054432,3,0.18688771478454672
0,0.058199999999999995,1,5.841643485007504e-6
0,0.058199999999999995,2,0.0035054988064988305
0,0.058199999999999995,3,0.1271936701123827
0,0.061952,1,1.8994275006991132e-5
0,0.061952,2,0.003982729456760491
0,0.061952,3,0.13446464496060556
0,0.065688,1,3.3873752257448315e-5
0,0.065688,2,0.004485089370333313
0,0.065688,3,0.1375053062840238
0,0.069408,1,5.055828471508824e-5
0,0.069408,2,0.004996609109709882
0,0.069408,3,0.16825593387089205
0,0.073112,1,6.906572485745365e-5
0,0.073112,2,0.005619829088767666
0,0.073112,3,0.12962347596641444
0,0.0768,1,8.979165453682877e-5
0,0.0768,2,0.0060978804681318015
0,0.0768,3,0.06728958552719194
0,0.080472,1,0.0001121830716158088
0,0.080472,2,0.006344967826187651
0,0.080472,3,0.1517326608036087
0,0.084128,1,0.0001353802739883508
0,0.084128,2,0.006899702434085643
0,0.084128,3,0.12148803123137636
0,0.087768,1,0.00016049519084842257
0,0.087768,2,0.0073419188677678535
0,0.087768,3,0.07153657005746616
0,0.091392,1,0.00018710230482521327
0,0.091392,2,0.007601167397656111
0,0.091392,3,0.08106707918761213
0,0.095,1,0.00021452731679595652
0,0.095,2,0.007893657419365015
0,0.095,3,0.0733147604152306
0,0.09859199999999999,1,0.00024288133424631554
0,0.09859199999999999,2,0.008157004038776523
0,0.09859199999999999,3,0.09513901235472458
0,0.102168,1,0.00027205078068898045
0,0.102168,2,0.008497221146957019
0,0.102168,3,0.17647482521306934
0,0.105728,1,0.0003023008879721475
0,0.105728,2,0.009125471524715547
0,0.105728,3,0.1307729790546462
0,0.109272,1,0.0003346415590557393
0,0.109272,2,0.009588930962485212
0,0.109272,3,0.08243817186123008
0,0.11279999999999998,1,0.00036847130749138705
0,0.11279999999999998,2,0.00987977283281163
0,0.11279999999999998,3,0.029084248782460784
0,0.116312,1,0.00040316906968022165
0,0.116312,2,0.009981916714535634
0,0.116312,3,-0.01783385410288814
0,0.119808,1,0.0004380658505142382
0,0.119808,2,0.009919569560591937
0,0.119808,3,0.016629395790180093
0,0.123288,1,0.0004725859525850981
0,0.123288,2,0.009977439857941764
0,0.123288,3,0.057180462895607166
0,0.126752,1,0.0005071478042530085
0,0.126752,2,0.010175512981412147
0,0.126752,3,0.06809720940175458
0,0.1302,1,0.0005422329730129177
0,0.1302,2,0.010410312159429398
0,0.1302,3,0.09918658693719389
0,0.133632,1,0.0005779611643440792
0,0.133632,2,0.010750720525797846
0,0.133632,3,0.018326255098137637
0,0.137048,1,0.0006146856256602048
0,0.137048,2,0.010813323013213085
0,0.137048,3,0.08395413066789786
0,0.140448,1,0.0006514509239051291
0,0.140448,2,0.011098767057483937
0,0.140448,3,0.051634040200034606
0,0.14383200000000002,1,0.0006890091516276551
0,0.14383200000000002,2,0.011273496649520855
0,0.14383200000000002,3,0.10132347942438591
0,0.1472,1,0.0007269782883432411
0,0.1472,2,0.011614754128222184
0,0.1472,3,0.08143375825315852
0,0.15055200000000002,1,0.0007659109441810421
0,0.15055200000000002,2,0.011887720085886774
0,0.15055200000000002,3,0.13659363661526164
0,0.15388800000000002,1,0.0008055683783875604
0,0.15388800000000002,2,0.012343396457635289
0,0.15388800000000002,3,0.15783986656989396
0,0.157208,1,0.0008465484546269092
0,0.157208,2,0.012867424814647331
0,0.157208,3,0.1410391270688918
0,0.160512,1,0.0008890624262145039
0,0.160512,2,0.013333418090482949
0,0.160512,3,0.07538861999092686
0,0.1638,1,0.000932902704896012
0,0.1638,2,0.013581295873013117
0,0.1638,3,0.11942574555220159
0,0.167072,1,0.000977340704992511
0,0.167072,2,0.01397205691245992
0,0.167072,3,0.18089208800707912
0,0.170328,1,0.0010228337222994805
0,0.170328,2,0.014561041551010971
0,0.170328,3,0.20729482293160775
0,0.173568,1,0.001070011496924756
0,0.173568,2,0.015232676777309379
0,0.173568,3,0.22248679668207805
0,0.176792,1,0.0011191216468548015
0,0.176792,2,0.0159499742098124
0,0.176792,3,0.178616228367936
0,0.18000000000000002,1,0.00117028916411988
0,0.18000000000000002,2,0.01652297507041674
0,0.18000000000000002,3,0.3225902510811568
0,0.183192,1,0.0012230305005446497
0,0.183192,2,0.017552683151867785
0,0.183192,3,0.3159822923666666
0,0.186368,1,0.001278777822234982
0,0.186368,2,0.01855624291242432
0,0.186368,3,0.28093550378916476
0,0.189528,1,0.0013374155498382426
0,0.189528,2,0.01944399910439808
0,0.189528,3,0.310621103890725
0,0.192672,1,0.0013985474830224703
0,0.192672,2,0.020420591855030524
0,0.192672,3,0.24498018271971034
0,0.1958,1,0.0014624230943450056
0,0.1958,2,0.021186889866577775
0,0.1958,3,0.3923694493029617
0,0.198912,1,0.0015283566956097957
0,0.198912,2,0.022407943592808593
0,0.198912,3,0.32190848522794546
0,0.20200800000000002,1,0.0015977316889731314
0,0.20200800000000002,2,0.023404572263074318
0,0.20200800000000002,3,0.3839692332293865
0,0.20508800000000002,1,0.0016698177715434002
0,0.20508800000000002,2,0.024587197501420827
0,0.20508800000000002,3,0.4020247227241256
0,0.208152,1,0.0017451529446877532
0,0.208152,2,0.02581900125184754
0,0.208152,3,0.3984291792840184
0,0.2112,1,0.0018238492605033843
0,0.2112,2,0.027033413390305225
0,0.2112,3,0.42422106014977795
0,0.214232,1,0.00190581456990279
0,0.214232,2,0.028319651644679353
0,0.214232,3,0.4145561606436736
0,0.217248,1,0.0019912266392631424
0,0.217248,2,0.02956995302518067
0,0.217248,3,0.46017458409374856
0,0.220248,1,0.0020799364983386847
0,0.220248,2,0.030950476777461915
0,0.220248,3,0.4302214025095552
0,0.223232,1,0.0021722927210426316
0,0.223232,2,0.032234257442550436
0,0.223232,3,0.5253577499094156
0,0.2262,1,0.0022679639971321212
0,0.2262,2,0.03379351924428158
0,0.2262,3,0.5501410647951261
0,0.22915200000000002,1,0.002367722465941241
0,0.22915200000000002,2,0.0354175356675568
0,0.22915200000000002,3,0.5792266075676147
0,0.23208800000000002,1,0.0024717083506611876
0,0.23208800000000002,2,0.03711814498737531
0,0.23208800000000002,3,0.5451220564054744
0,0.23500800000000002,1,0.0025800933340243237
0,0.23500800000000002,2,0.0387099013920793
0,0.23500800000000002,3,0.5230392137797588
0,0.237912,1,0.0026925068876669216
0,0.237912,2,0.04022880726889571
0,0.237912,3,0.47331554786640845
0,0.24080000000000001,1,0.0028086876830594925
0,0.24080000000000001,2,0.041595742571133895
0,0.24080000000000001,3,0.5035189880385093
